[Fri Oct  7 23:59:52 2022] PHP 8.1.5 Development Server (http://127.0.0.1:8000) started
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14979 Accepted
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14979 [200]: GET /?token=cfjenefmklemfklmfkef209123mkerf
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14979 Closing
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14980 Accepted
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14980 [200]: GET /css/main.css
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14980 Closing
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14981 Accepted
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14982 Accepted
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14981 [200]: GET /js/locate.js
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14982 [200]: GET /js/script.js
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14981 Closing
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14982 Closing
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14983 Accepted
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14984 Accepted
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14983 [200]: GET /images/googlelogo_color_116x41dp.png
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14984 [200]: GET /images/locked_doc-2.svg
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14983 Closing
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14984 Closing
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14985 Accepted
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14985 [404]: GET /fonts/pxiDypQkot1TnFhsFMOfGShVF9eO.woff2 - No such file or directory
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14985 Closing
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14986 Accepted
[Sat Oct  8 00:00:02 2022] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in C:\Users\Kassoum\Documents\Cyber security\codes\Hacking Tools\Pentest_tools\phising_test\php\helpers.php on line 31
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14986 [200]: POST /query_handler.php
[Sat Oct  8 00:00:02 2022] 127.0.0.1:14986 Closing
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15017 Accepted
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15017 [200]: GET /?token=cfjenefmklemfklmfkef209123mkerf
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15017 Closing
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15018 Accepted
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15019 Accepted
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15020 Accepted
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15018 [200]: GET /css/main.css
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15018 Closing
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15020 [200]: GET /js/script.js
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15019 [200]: GET /js/locate.js
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15020 Closing
[Sat Oct  8 00:01:11 2022] 127.0.0.1:15019 Closing
